"Region";"NewName";"speciesKey";"Realm";"FirstRecord"
"Bassian";"Aetea anguina";1004591;"marine";1887
"Cape Howe";"Aetea anguina";1004591;"marine";1887
"Central and Southern Great Barrier Reef";"Aetea anguina";1004591;"marine";1887
"Leeuwin";"Aetea anguina";1004591;"marine";1887
"Cape Howe";"Celleporaria albirostris";1004640;"marine";1888
"Bassian";"Watersipora subtorquata";1005677;"marine";1975
"Cape Howe";"Watersipora subtorquata";1005677;"marine";1975
"Celtic Seas";"Watersipora subtorquata";1005677;"marine";1983
"Hawaii";"Watersipora subtorquata";1005677;"marine";1966
"Northern California";"Watersipora subtorquata";1005677;"marine";1963
"Southern California Bight";"Watersipora subtorquata";1005677;"marine";1963
"Bassian";"Celleporella hyalina";1005933;"marine";1889
"North Sea";"Biflustra grandicella";1007721;"marine";2016
"Celtic Seas";"Conopeum seurati";1007737;"marine";1994
"North Sea";"Conopeum seurati";1007737;"marine";1994
"Carolinian";"Conopeum tenuissimum";1007741;"marine";1951
"Floridian";"Conopeum tenuissimum";1007741;"marine";1951
"Northern California";"Conopeum tenuissimum";1007741;"marine";1951
"Bassian";"Membranipora membranacea";1007770;"marine";1879
"Gulf of Maine/Bay of Fundy";"Membranipora membranacea";1007770;"marine";1992
"North American Pacific Fijordland";"Membranipora membranacea";1007770;"marine";1992
"Puget Trough/Georgia Basin";"Membranipora membranacea";1007770;"marine";1992
"Bassian";"Cryptosula pallasiana";1008593;"marine";1889
"Central and Southern Great Barrier Reef";"Cryptosula pallasiana";1008593;"marine";1889
"Gulf of Maine/Bay of Fundy";"Cryptosula pallasiana";1008593;"marine";1947
"Northern California";"Cryptosula pallasiana";1008593;"marine";1947
"Puget Trough/Georgia Basin";"Cryptosula pallasiana";1008593;"marine";1947
"Virginian";"Cryptosula pallasiana";1008593;"marine";1947
"Bassian";"Microporella ciliata";1009018;"marine";1879
"Bassian";"Cyclicopora longipora";1009886;"marine";1991
"North Sea";"Schizoporella japonica";1010024;"marine";2010
"Southern Norway";"Schizoporella japonica";1010024;"marine";2010
"Carolinian";"Schizoporella errata";1010034;"marine";2000
"Floridian";"Schizoporella errata";1010034;"marine";2000
"Leeuwin";"Schizoporella errata";1010034;"marine";1959
"Northern California";"Schizoporella errata";1010034;"marine";2000
"Northern Gulf of Mexico";"Schizoporella errata";1010034;"marine";2000
"South Australian Gulfs";"Schizoporella errata";1010034;"marine";1959
"Carolinian";"Schizoporella unicornis";1010076;"marine";1920
"Celtic Seas";"Schizoporella unicornis";1010076;"marine";2000
"Floridian";"Schizoporella unicornis";1010076;"marine";1920
"Gulf of Maine/Bay of Fundy";"Schizoporella unicornis";1010076;"marine";1920
"Leeuwin";"Schizoporella unicornis";1010076;"marine";1926
"North Sea";"Schizoporella unicornis";1010076;"marine";2000
"Northern California";"Schizoporella unicornis";1010076;"marine";1920
"Northern Gulf of Mexico";"Schizoporella unicornis";1010076;"marine";1920
"Puget Trough/Georgia Basin";"Schizoporella unicornis";1010076;"marine";1920
"Virginian";"Schizoporella unicornis";1010076;"marine";1920
"Celtic Seas";"Eusarsiella zostericola";1030608;"marine";1870
"North Sea";"Eusarsiella zostericola";1030608;"marine";1870
"Northern California";"Mytilicola orientalis";2110813;"marine";1933
"Oregon, Washington, Vancouver Coast and Shelf";"Mytilicola orientalis";2110813;"marine";1933
"Puget Trough/Georgia Basin";"Mytilicola orientalis";2110813;"marine";1933
"Northern and Central Red Sea";"Calanopia elliptica";2114201;"marine";1963
"Baltic Sea";"Acartia clausi";2114445;"marine";1981
"North and East Barents Sea";"Acartia clausi";2114445;"marine";1981
"Northern Norway and Finnmark";"Acartia clausi";2114445;"marine";1981
"Baltic Sea";"Acartia tonsa";2114446;"marine";1916
"Celtic Seas";"Acartia tonsa";2114446;"marine";1916
"Gulf of Maine/Bay of Fundy";"Acartia tonsa";2114446;"marine";1952
"North American Pacific Fijordland";"Acartia tonsa";2114446;"marine";1952
"North Sea";"Acartia tonsa";2114446;"marine";1873
"Oregon, Washington, Vancouver Coast and Shelf";"Acartia tonsa";2114446;"marine";1952
"Western Mediterranean";"Acartia tonsa";2114446;"marine";1927
"Baltic Sea";"Verruca stroemia";2115659;"marine";1971
"North Sea";"Verruca stroemia";2115659;"marine";1971
"North Sea";"Balanus tintinnabulum";2115692;"marine";1764
"South European Atlantic Shelf";"Balanus tintinnabulum";2115692;"marine";1970
"Western Mediterranean";"Balanus tintinnabulum";2115692;"marine";1791
"Namaqua";"Balanus glandula";2115706;"marine";1992
"North Sea";"Balanus improvisus";2115717;"marine";1700
