"Region";"Species";"speciesKey";"Realm";"Source";"FirstRecord"
"East China Sea";"Phytophthora infestans";3203716;"marine";"APASD";1900
"Celtic Seas";"Conopeum seurati";1007737;"marine";"AquaNIS (2020)";1994
"Celtic Seas";"Schizoporella unicornis";1010076;"marine";"AquaNIS (2020)";2000
"North Sea";"Schizoporella unicornis";1010076;"marine";"AquaNIS (2020)";2000
"North Sea";"Eusarsiella zostericola";1030608;"marine";"AquaNIS (2020)";1870
"North and East Barents Sea";"Acartia clausi";2114445;"marine";"AquaNIS (2020)";1981
"Northern Norway and Finnmark";"Acartia clausi";2114445;"marine";"AquaNIS (2020)";1981
"Celtic Seas";"Acartia tonsa";2114446;"marine";"AquaNIS (2020)";1927
"North Sea";"Acartia tonsa";2114446;"marine";"AquaNIS (2020)";1914
"Levantine Sea";"Balanus trigonus";2115724;"marine";"AquaNIS (2020)";1970
"Celtic Seas";"Austrominius modestus";2115769;"marine";"AquaNIS (2020)";1942
"North Sea";"Austrominius modestus";2115769;"marine";"AquaNIS (2020)";1942
"Celtic Seas";"Crassicorophium crassicorne";2217347;"marine";"AquaNIS (2020)";1995
"North Sea";"Crassicorophium crassicorne";2217347;"marine";"AquaNIS (2020)";1995
"Celtic Seas";"Monocorophium insidiosum";2217353;"marine";"AquaNIS (2020)";1997
"North Sea";"Monocorophium insidiosum";2217353;"marine";"AquaNIS (2020)";1997
"Celtic Seas";"Monocorophium acherusicum";2217354;"marine";"AquaNIS (2020)";1956
"North Sea";"Monocorophium acherusicum";2217354;"marine";"AquaNIS (2020)";1956
"Baltic Sea";"Palaemon elegans";2224979;"marine";"AquaNIS (2020)";1995
"North Sea";"Palaemon elegans";2224979;"marine";"AquaNIS (2020)";1995
"North Sea";"Hemigrapsus penicillatus";2225770;"marine";"AquaNIS (2020)";2010
"North Sea";"Hemigrapsus sanguineus";2225772;"marine";"AquaNIS (2020)";1999
"Baltic Sea";"Eriocheir sinensis";2225776;"marine";"AquaNIS (2020)";1931
"North Sea";"Goneplax rhomboides";2227571;"marine";"AquaNIS (2020)";2008
"Baltic Sea";"Rhithropanopeus harrisii";2227663;"marine";"AquaNIS (2020)";1936
"Sea of Japan/East Sea";"Pleopis polyphemoides";2234647;"marine";"AquaNIS (2020)";1957
"Celtic Seas";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1947
"North Sea";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1947
"South European Atlantic Shelf";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1959
"Western Mediterranean";"Penilia avirostris";2234729;"marine";"AquaNIS (2020)";1959
"Gulf of Maine/Bay of Fundy";"Halichondria panicea";2249942;"marine";"AquaNIS (2020)";2012
"Northern California";"Halichondria panicea";2249942;"marine";"AquaNIS (2020)";2012
"Virginian";"Halichondria panicea";2249942;"marine";"AquaNIS (2020)";2012
"Celtic Seas";"Diadumene cincta";2257924;"marine";"AquaNIS (2020)";1925
"North Sea";"Diadumene cincta";2257924;"marine";"AquaNIS (2020)";1925
"North Sea";"Mytilus galloprovincialis";2285683;"marine";"AquaNIS (2020)";1924
"Western Mediterranean";"Mytilus galloprovincialis";2285683;"marine";"AquaNIS (2020)";2003
"North Sea";"Petricolaria pholadiformis";2287615;"marine";"AquaNIS (2020)";1972
"Celtic Seas";"Haliotis tuberculata";2293076;"marine";"AquaNIS (2020)";1976
"Celtic Seas";"Calyptraea chinensis";2301629;"marine";"AquaNIS (2020)";1956
"Western Mediterranean";"Stramonita haemastoma";2304357;"marine";"AquaNIS (2020)";2018
"North Sea";"Syllidia armata";2308987;"marine";"AquaNIS (2020)";1943
"Celtic Seas";"Proceraea cornuta";2309924;"marine";"AquaNIS (2020)";1929
"North Sea";"Proceraea cornuta";2309924;"marine";"AquaNIS (2020)";1929
"North Sea";"Alitta succinea";2315382;"marine";"AquaNIS (2020)";1940
"North Sea";"Alitta virens";2315395;"marine";"AquaNIS (2020)";1903
"Baltic Sea";"Hediste diversicolor";2316416;"marine";"AquaNIS (2020)";1944
