"";"X";"speciesKey";"scientificName";"matchType";"Orig_name";"nRecords"
"1";1;2501066;"Paratenuisentis ambiguus (Van Cleave, 1921)";"EXACT";"Paratenuisentis ambiguus (Van Cleave, 1921)";17
"2";2;2500461;"Acanthocephalus anguillae (Müller, 1780)";"EXACT";"Acanthocephalus anguillae (Müller, 1780)";160
"3";3;4411080;"Erpobdella testacea (Savigny, 1822)";"EXACT";"Erpobdella testacea (Savigny, 1822)";6515
"4";4;2308887;"Hirudo medicinalis Linnaeus, 1758";"EXACT";"Hirudo medicinalis Linnaeus, 1758";1809
"5";5;10490144;"Limnatis nilotica Savigny, 1822";"EXACT";"Limnatis nilotica Savigny, 1822";26
"6";6;4411124;"Trocheta cylindrica Orley, 1886";"EXACT";"Trocheta cylindrica Orley, 1886";7
"7";7;4411119;"Trocheta pseudodina Nesemann, 1990";"EXACT";"Trocheta pseudodina Nesemann, 1990";267
"8";8;8256670;"Cambarincola mesochoreus Hoffman, 1963";"EXACT";"Cambarincola mesochoreus Hoffman, 1963";143
"9";9;8274448;"Cambarincola pamelae Holt, 1984";"EXACT";"Cambarincola pamelae Holt, 1984";21
"10";10;7849089;"Xironogiton instabilius (Moore, 1894)";"EXACT";"Xironogiton instabilius (Moore, 1894)";277
"11";11;2307544;"Xironogiton victoriensis Gelder & Hall, 1990";"EXACT";"Xironogiton victoriensis Gelder & Hall, 1990";152
"12";12;4410938;"Allolobophora chlorotica (Savigny, 1826)";"EXACT";"Allolobophora chlorotica (Savigny, 1826)";3543
"13";13;8784979;"Allolobophora georgii Michaelsen, 1890";"EXACT";"Allolobophora georgii Michaelsen, 1890";59
"14";14;9171774;"Allolobophora longa Ude, 1885";"EXACT";"Allolobophora longa Ude, 1885";1917
"15";15;9672769;"Allolobophora muldali Omodeo, 1956";"EXACT";"Allolobophora muldali Omodeo, 1956";115
"16";16;8941475;"Allolobophora parva Eisen, 1874";"EXACT";"Allolobophora parva Eisen, 1874";17
"17";17;8950917;"Allolobophora smaragdina Rosa, 1892";"EXACT";"Allolobophora smaragdina Rosa, 1892";37
"18";18;8963389;"Allolobophora subrubicunda Eisen, 1874";"EXACT";"Allolobophora subrubicunda Eisen, 1874";49
"19";19;9027202;"Allolobophora transpadana Rosa, 1884";"EXACT";"Allolobophora transpadana Rosa, 1884";15
"20";20;8772214;"Allolobophora veneta Rosa, 1886";"EXACT";"Allolobophora veneta Rosa, 1886";187
